#Time    	data1	data2
   0.00000	   1.00000	   1.00000
   0.10000	   0.94104	   0.93788
   0.20000	   0.90589	   0.90679
   0.30000	   0.87549	   0.87901
   0.40000	   0.84726	   0.85313
   0.50000	   0.82104	   0.83418
   0.60000	   0.79580	   0.81638
   0.70000	   0.77262	   0.80149
   0.80000	   0.75001	   0.78646
   0.90000	   0.72736	   0.77195
   1.00000	   0.70736	   0.75740
   1.10000	   0.68824	   0.74263
   1.20000	   0.66996	   0.73002
   1.30000	   0.65331	   0.71709
   1.40000	   0.63540	   0.70456
   1.50000	   0.61785	   0.69229
   1.60000	   0.60096	   0.67849
   1.70000	   0.58572	   0.66596
   1.80000	   0.56931	   0.65537
   1.90000	   0.55399	   0.64295
   2.00000	   0.53958	   0.63306
   2.10000	   0.52437	   0.62707
   2.20000	   0.50961	   0.61796
   2.30000	   0.49460	   0.61174
   2.40000	   0.48077	   0.60170
   2.50000	   0.46720	   0.59195
   2.60000	   0.45379	   0.58044
   2.70000	   0.44258	   0.57113
   2.80000	   0.42993	   0.56090
   2.90000	   0.41774	   0.55057
   3.00000	   0.40449	   0.54205
   3.10000	   0.39317	   0.53259
   3.20000	   0.38279	   0.52495
   3.30000	   0.37260	   0.51622
   3.40000	   0.36271	   0.50814
   3.50000	   0.35390	   0.50019
   3.60000	   0.34455	   0.49121
   3.70000	   0.33623	   0.48223
   3.80000	   0.32780	   0.47544
   3.90000	   0.31994	   0.46711
   4.00000	   0.31228	   0.45718
   4.10000	   0.30593	   0.45072
   4.20000	   0.29935	   0.44256
   4.30000	   0.29279	   0.43483
   4.40000	   0.28678	   0.42890
   4.50000	   0.28047	   0.42093
   4.60000	   0.27422	   0.41405
   4.70000	   0.26802	   0.40480
   4.80000	   0.26253	   0.39931
   4.90000	   0.25607	   0.39231
   5.00000	   0.24916	   0.38591
   5.10000	   0.24223	   0.37947
   5.20000	   0.23663	   0.37272
   5.30000	   0.23013	   0.36668
   5.40000	   0.22437	   0.36005
   5.50000	   0.21809	   0.35411
   5.60000	   0.21289	   0.34874
   5.70000	   0.20788	   0.34329
   5.80000	   0.20368	   0.33768
   5.90000	   0.19834	   0.33207
   6.00000	   0.19436	   0.32676
   6.10000	   0.19031	   0.32001
   6.20000	   0.18609	   0.31417
   6.30000	   0.18166	   0.30655
   6.40000	   0.17752	   0.30050
   6.50000	   0.17362	   0.29299
   6.60000	   0.16979	   0.28761
   6.70000	   0.16494	   0.28356
   6.80000	   0.16126	   0.27703
   6.90000	   0.15746	   0.27165
   7.00000	   0.15442	   0.26738
   7.10000	   0.15022	   0.26253
   7.20000	   0.14734	   0.25891
   7.30000	   0.14356	   0.25318
   7.40000	   0.14037	   0.24878
   7.50000	   0.13735	   0.24357
   7.60000	   0.13535	   0.23835
   7.70000	   0.13236	   0.23498
   7.80000	   0.12894	   0.23007
   7.90000	   0.12549	   0.22766
   8.00000	   0.12265	   0.22372
   8.10000	   0.12023	   0.21943
   8.20000	   0.11875	   0.21611
   8.30000	   0.11645	   0.21098
   8.40000	   0.11505	   0.20695
   8.50000	   0.11291	   0.20356
   8.60000	   0.11096	   0.19870
   8.70000	   0.10838	   0.19462
   8.80000	   0.10513	   0.19050
   8.90000	   0.10176	   0.18705
   9.00000	   0.09965	   0.18389
   9.10000	   0.09841	   0.18058
   9.20000	   0.09664	   0.17676
   9.30000	   0.09514	   0.17312
   9.40000	   0.09219	   0.16952
   9.50000	   0.08889	   0.16681
   9.60000	   0.08594	   0.16402
   9.70000	   0.08479	   0.16146
   9.80000	   0.08253	   0.15881
   9.90000	   0.08087	   0.15522
  10.00000	   0.08027	   0.15186
  10.10000	   0.07835	   0.14851
  10.20000	   0.07648	   0.14610
  10.30000	   0.07432	   0.14339
  10.40000	   0.07218	   0.14000
  10.50000	   0.07085	   0.13659
  10.60000	   0.06813	   0.13385
  10.70000	   0.06572	   0.13116
  10.80000	   0.06419	   0.12865
  10.90000	   0.06186	   0.12678
  11.00000	   0.05951	   0.12446
  11.10000	   0.05758	   0.12139
  11.20000	   0.05520	   0.11778
  11.30000	   0.05294	   0.11402
  11.40000	   0.05090	   0.10976
  11.50000	   0.04892	   0.10601
  11.60000	   0.04812	   0.10354
  11.70000	   0.04717	   0.10211
  11.80000	   0.04607	   0.09984
  11.90000	   0.04521	   0.09768
  12.00000	   0.04451	   0.09464
  12.10000	   0.04371	   0.09292
  12.20000	   0.04161	   0.09035
  12.30000	   0.04036	   0.08861
  12.40000	   0.03860	   0.08591
  12.50000	   0.03743	   0.08428
  12.60000	   0.03644	   0.08343
  12.70000	   0.03567	   0.08099
  12.80000	   0.03585	   0.07971
  12.90000	   0.03525	   0.07840
  13.00000	   0.03475	   0.07741
  13.10000	   0.03364	   0.07590
  13.20000	   0.03360	   0.07423
  13.30000	   0.03329	   0.07272
  13.40000	   0.03269	   0.07114
  13.50000	   0.03214	   0.06935
  13.60000	   0.03265	   0.06777
  13.70000	   0.03274	   0.06573
  13.80000	   0.03336	   0.06382
  13.90000	   0.03270	   0.06197
  14.00000	   0.03302	   0.06162
  14.10000	   0.03311	   0.06120
  14.20000	   0.03318	   0.06032
  14.30000	   0.03237	   0.05937
  14.40000	   0.03231	   0.05882
  14.50000	   0.03247	   0.05780
  14.60000	   0.03331	   0.05607
  14.70000	   0.03399	   0.05465
  14.80000	   0.03379	   0.05382
  14.90000	   0.03386	   0.05324
  15.00000	   0.03355	   0.05132
  15.10000	   0.03351	   0.04937
  15.20000	   0.03287	   0.04736
  15.30000	   0.03219	   0.04589
  15.40000	   0.03239	   0.04486
  15.50000	   0.03176	   0.04332
  15.60000	   0.03117	   0.04248
  15.70000	   0.03137	   0.04113
  15.80000	   0.03096	   0.04072
  15.90000	   0.03019	   0.03963
  16.00000	   0.02972	   0.03848
  16.10000	   0.02969	   0.03758
  16.20000	   0.02967	   0.03662
  16.30000	   0.03029	   0.03562
  16.40000	   0.03097	   0.03528
  16.50000	   0.03099	   0.03417
  16.60000	   0.03087	   0.03285
  16.70000	   0.03049	   0.03317
  16.80000	   0.03053	   0.03225
  16.90000	   0.03047	   0.03105
  17.00000	   0.02956	   0.03047
  17.10000	   0.02862	   0.02863
  17.20000	   0.02759	   0.02842
  17.30000	   0.02790	   0.02759
  17.40000	   0.02721	   0.02765
  17.50000	   0.02656	   0.02738
  17.60000	   0.02692	   0.02644
  17.70000	   0.02750	   0.02580
  17.80000	   0.02752	   0.02529
  17.90000	   0.02783	   0.02437
  18.00000	   0.02786	   0.02366
  18.10000	   0.02732	   0.02256
  18.20000	   0.02613	   0.02191
  18.30000	   0.02382	   0.02100
  18.40000	   0.02247	   0.01859
  18.50000	   0.02108	   0.01715
  18.60000	   0.01872	   0.01589
  18.70000	   0.01715	   0.01462
  18.80000	   0.01559	   0.01282
  18.90000	   0.01462	   0.01060
  19.00000	   0.01445	   0.01038
  19.10000	   0.01395	   0.00932
  19.20000	   0.01388	   0.00802
  19.30000	   0.01417	   0.00744
  19.40000	   0.01329	   0.00597
  19.50000	   0.01391	   0.00568
  19.60000	   0.01402	   0.00460
  19.70000	   0.01371	   0.00424
  19.80000	   0.01245	   0.00247
  19.90000	   0.01179	   0.00101
  20.00000	   0.01005	  -0.00080
  20.10000	   0.00827	  -0.00256
  20.20000	   0.00703	  -0.00392
  20.30000	   0.00612	  -0.00540
  20.40000	   0.00529	  -0.00717
  20.50000	   0.00442	  -0.00777
  20.60000	   0.00279	  -0.00892
  20.70000	   0.00220	  -0.00886
  20.80000	   0.00144	  -0.00877
  20.90000	   0.00042	  -0.01043
  21.00000	  -0.00073	  -0.01058
  21.10000	  -0.00159	  -0.01100
  21.20000	  -0.00165	  -0.01184
  21.30000	  -0.00123	  -0.01197
  21.40000	  -0.00010	  -0.01344
  21.50000	   0.00105	  -0.01333
  21.60000	   0.00251	  -0.01277
  21.70000	   0.00254	  -0.01271
  21.80000	   0.00333	  -0.01307
  21.90000	   0.00353	  -0.01283
  22.00000	   0.00433	  -0.01223
  22.10000	   0.00482	  -0.01282
  22.20000	   0.00547	  -0.01338
  22.30000	   0.00468	  -0.01398
  22.40000	   0.00500	  -0.01602
  22.50000	   0.00591	  -0.01637
  22.60000	   0.00700	  -0.01683
  22.70000	   0.00841	  -0.01831
  22.80000	   0.00960	  -0.01923
  22.90000	   0.01093	  -0.02043
  23.00000	   0.01226	  -0.02143
  23.10000	   0.01416	  -0.02253
  23.20000	   0.01538	  -0.02319
  23.30000	   0.01525	  -0.02353
  23.40000	   0.01486	  -0.02445
  23.50000	   0.01457	  -0.02645
  23.60000	   0.01421	  -0.02697
  23.70000	   0.01423	  -0.02918
  23.80000	   0.01422	  -0.02993
  23.90000	   0.01329	  -0.03199
  24.00000	   0.01293	  -0.03278
  24.10000	   0.01279	  -0.03447
  24.20000	   0.01165	  -0.03591
  24.30000	   0.01048	  -0.03719
  24.40000	   0.00984	  -0.03848
  24.50000	   0.00945	  -0.03910
  24.60000	   0.00863	  -0.03913
  24.70000	   0.00839	  -0.03951
  24.80000	   0.00850	  -0.04040
  24.90000	   0.00902	  -0.04106
  25.00000	   0.00837	  -0.04158
  25.10000	   0.00838	  -0.04186
  25.20000	   0.00875	  -0.04083
  25.30000	   0.00891	  -0.04117
  25.40000	   0.00966	  -0.04057
  25.50000	   0.01047	  -0.04069
  25.60000	   0.01054	  -0.04077
  25.70000	   0.01116	  -0.04045
  25.80000	   0.01169	  -0.04050
  25.90000	   0.01165	  -0.04081
  26.00000	   0.01205	  -0.04085
  26.10000	   0.01275	  -0.04103
  26.20000	   0.01414	  -0.04043
  26.30000	   0.01489	  -0.04118
  26.40000	   0.01628	  -0.04081
  26.50000	   0.01718	  -0.04126
  26.60000	   0.01788	  -0.04166
  26.70000	   0.01929	  -0.04180
  26.80000	   0.02009	  -0.04221
  26.90000	   0.02094	  -0.04286
  27.00000	   0.02150	  -0.04380
  27.10000	   0.02254	  -0.04442
  27.20000	   0.02378	  -0.04441
  27.30000	   0.02499	  -0.04526
  27.40000	   0.02599	  -0.04575
  27.50000	   0.02674	  -0.04661
  27.60000	   0.02814	  -0.04750
  27.70000	   0.03021	  -0.04807
  27.80000	   0.03080	  -0.04774
  27.90000	   0.03141	  -0.04766
  28.00000	   0.03158	  -0.04825
  28.10000	   0.03110	  -0.04903
  28.20000	   0.03072	  -0.05015
  28.30000	   0.03036	  -0.05129
  28.40000	   0.03143	  -0.05221
  28.50000	   0.03254	  -0.05238
  28.60000	   0.03293	  -0.05257
  28.70000	   0.03358	  -0.05314
  28.80000	   0.03348	  -0.05348
  28.90000	   0.03491	  -0.05388
  29.00000	   0.03620	  -0.05392
  29.10000	   0.03661	  -0.05370
  29.20000	   0.03746	  -0.05241
  29.30000	   0.03779	  -0.05184
  29.40000	   0.03768	  -0.05125
  29.50000	   0.03774	  -0.05186
  29.60000	   0.03862	  -0.05239
  29.70000	   0.04053	  -0.05300
  29.80000	   0.04219	  -0.05244
  29.90000	   0.04290	  -0.05185
  30.00000	   0.04368	  -0.05103
  30.10000	   0.04543	  -0.05033
  30.20000	   0.04741	  -0.05018
  30.30000	   0.04890	  -0.05023
  30.40000	   0.05009	  -0.04981
  30.50000	   0.05179	  -0.04913
  30.60000	   0.05192	  -0.04983
  30.70000	   0.05249	  -0.04950
  30.80000	   0.05227	  -0.05033
  30.90000	   0.05329	  -0.04943
  31.00000	   0.05421	  -0.05001
  31.10000	   0.05377	  -0.05021
  31.20000	   0.05425	  -0.04977
  31.30000	   0.05479	  -0.05006
  31.40000	   0.05488	  -0.04993
  31.50000	   0.05439	  -0.04951
  31.60000	   0.05407	  -0.04946
  31.70000	   0.05354	  -0.04955
  31.80000	   0.05279	  -0.05009
  31.90000	   0.05211	  -0.04981
  32.00000	   0.05229	  -0.04969
  32.10000	   0.05184	  -0.04938
  32.20000	   0.05090	  -0.04930
  32.30000	   0.05024	  -0.04922
  32.40000	   0.04954	  -0.04988
  32.50000	   0.04880	  -0.05033
  32.60000	   0.04797	  -0.05104
  32.70000	   0.04675	  -0.05141
  32.80000	   0.04519	  -0.05172
  32.90000	   0.04386	  -0.05208
  33.00000	   0.04192	  -0.05302
  33.10000	   0.03982	  -0.05303
  33.20000	   0.03957	  -0.05323
  33.30000	   0.03857	  -0.05291
  33.40000	   0.03726	  -0.05378
  33.50000	   0.03612	  -0.05418
  33.60000	   0.03370	  -0.05434
  33.70000	   0.03216	  -0.05455
  33.80000	   0.02986	  -0.05534
  33.90000	   0.02800	  -0.05600
  34.00000	   0.02591	  -0.05659
  34.10000	   0.02521	  -0.05690
  34.20000	   0.02441	  -0.05843
  34.30000	   0.02254	  -0.05990
  34.40000	   0.02121	  -0.06005
  34.50000	   0.02081	  -0.06246
  34.60000	   0.02122	  -0.06440
  34.70000	   0.01982	  -0.06522
  34.80000	   0.01845	  -0.06636
  34.90000	   0.01738	  -0.06596
  35.00000	   0.01593	  -0.06677
  35.10000	   0.01528	  -0.06714
  35.20000	   0.01383	  -0.06841
  35.30000	   0.01283	  -0.06854
  35.40000	   0.01092	  -0.06931
  35.50000	   0.00849	  -0.06940
  35.60000	   0.00648	  -0.06996
  35.70000	   0.00455	  -0.06980
  35.80000	   0.00359	  -0.07023
  35.90000	   0.00194	  -0.07098
  36.00000	   0.00119	  -0.07148
  36.10000	   0.00060	  -0.07160
  36.20000	  -0.00029	  -0.07102
  36.30000	  -0.00115	  -0.07128
  36.40000	  -0.00146	  -0.07173
  36.50000	  -0.00104	  -0.07105
  36.60000	  -0.00063	  -0.07073
  36.70000	  -0.00118	  -0.07036
  36.80000	  -0.00084	  -0.07046
  36.90000	  -0.00104	  -0.07017
  37.00000	  -0.00195	  -0.07027
  37.10000	  -0.00311	  -0.07036
  37.20000	  -0.00362	  -0.07161
  37.30000	  -0.00426	  -0.07166
  37.40000	  -0.00521	  -0.07161
  37.50000	  -0.00594	  -0.07089
  37.60000	  -0.00627	  -0.07017
  37.70000	  -0.00650	  -0.07030
  37.80000	  -0.00648	  -0.06951
  37.90000	  -0.00631	  -0.06887
  38.00000	  -0.00523	  -0.06850
  38.10000	  -0.00507	  -0.06732
  38.20000	  -0.00539	  -0.06617
  38.30000	  -0.00607	  -0.06462
  38.40000	  -0.00723	  -0.06480
  38.50000	  -0.00755	  -0.06505
  38.60000	  -0.00801	  -0.06544
  38.70000	  -0.00841	  -0.06551
  38.80000	  -0.00885	  -0.06505
  38.90000	  -0.01017	  -0.06420
  39.00000	  -0.01201	  -0.06354
  39.10000	  -0.01290	  -0.06290
  39.20000	  -0.01281	  -0.06194
  39.30000	  -0.01245	  -0.06062
  39.40000	  -0.01165	  -0.06069
  39.50000	  -0.01082	  -0.06021
  39.60000	  -0.01020	  -0.06035
  39.70000	  -0.01061	  -0.06036
  39.80000	  -0.01115	  -0.06116
  39.90000	  -0.01115	  -0.06055
  40.00000	  -0.01193	  -0.05848
  40.10000	  -0.01248	  -0.05740
  40.20000	  -0.01294	  -0.05704
  40.30000	  -0.01373	  -0.05591
  40.40000	  -0.01516	  -0.05480
  40.50000	  -0.01465	  -0.05427
  40.60000	  -0.01339	  -0.05354
  40.70000	  -0.01367	  -0.05255
  40.80000	  -0.01414	  -0.05209
  40.90000	  -0.01358	  -0.05162
  41.00000	  -0.01298	  -0.05075
  41.10000	  -0.01252	  -0.04964
  41.20000	  -0.01016	  -0.04974
  41.30000	  -0.00990	  -0.04969
  41.40000	  -0.00955	  -0.04945
  41.50000	  -0.00818	  -0.04969
  41.60000	  -0.00850	  -0.04906
  41.70000	  -0.00807	  -0.04887
  41.80000	  -0.00827	  -0.04738
  41.90000	  -0.00877	  -0.04620
  42.00000	  -0.00852	  -0.04589
  42.10000	  -0.00862	  -0.04553
  42.20000	  -0.00851	  -0.04480
  42.30000	  -0.00762	  -0.04489
  42.40000	  -0.00718	  -0.04497
  42.50000	  -0.00752	  -0.04471
  42.60000	  -0.00787	  -0.04437
  42.70000	  -0.00782	  -0.04376
  42.80000	  -0.00752	  -0.04145
  42.90000	  -0.00764	  -0.04005
  43.00000	  -0.00708	  -0.03851
  43.10000	  -0.00699	  -0.03612
  43.20000	  -0.00661	  -0.03481
  43.30000	  -0.00717	  -0.03272
  43.40000	  -0.00594	  -0.03084
  43.50000	  -0.00578	  -0.03038
  43.60000	  -0.00591	  -0.03017
  43.70000	  -0.00593	  -0.02952
  43.80000	  -0.00552	  -0.02970
  43.90000	  -0.00531	  -0.03034
  44.00000	  -0.00358	  -0.03128
  44.10000	  -0.00169	  -0.03150
  44.20000	  -0.00108	  -0.03167
  44.30000	  -0.00057	  -0.03196
  44.40000	   0.00093	  -0.03286
  44.50000	   0.00152	  -0.03208
  44.60000	   0.00215	  -0.03240
  44.70000	   0.00301	  -0.03291
  44.80000	   0.00414	  -0.03370
  44.90000	   0.00519	  -0.03421
  45.00000	   0.00560	  -0.03434
  45.10000	   0.00625	  -0.03402
  45.20000	   0.00725	  -0.03318
  45.30000	   0.00683	  -0.03240
  45.40000	   0.00752	  -0.03169
  45.50000	   0.00752	  -0.03101
  45.60000	   0.00741	  -0.03139
  45.70000	   0.00774	  -0.03221
  45.80000	   0.00802	  -0.03271
  45.90000	   0.00933	  -0.03314
  46.00000	   0.01023	  -0.03281
  46.10000	   0.01057	  -0.03293
  46.20000	   0.01118	  -0.03228
  46.30000	   0.01215	  -0.03140
  46.40000	   0.01274	  -0.03067
  46.50000	   0.01469	  -0.02986
  46.60000	   0.01620	  -0.02834
  46.70000	   0.01701	  -0.02725
  46.80000	   0.01764	  -0.02701
  46.90000	   0.01762	  -0.02680
  47.00000	   0.01879	  -0.02641
  47.10000	   0.02038	  -0.02584
  47.20000	   0.02066	  -0.02511
  47.30000	   0.02119	  -0.02471
  47.40000	   0.02290	  -0.02429
  47.50000	   0.02340	  -0.02262
  47.60000	   0.02364	  -0.02201
  47.70000	   0.02448	  -0.02178
  47.80000	   0.02559	  -0.02039
  47.90000	   0.02672	  -0.01931
  48.00000	   0.02767	  -0.01951
  48.10000	   0.02855	  -0.02057
  48.20000	   0.02956	  -0.02085
  48.30000	   0.02986	  -0.02151
  48.40000	   0.03023	  -0.02215
  48.50000	   0.03082	  -0.02285
  48.60000	   0.03082	  -0.02269
  48.70000	   0.03147	  -0.02225
  48.80000	   0.03176	  -0.02246
  48.90000	   0.03240	  -0.02274
  49.00000	   0.03300	  -0.02229
  49.10000	   0.03390	  -0.02203
  49.20000	   0.03429	  -0.02208
  49.30000	   0.03395	  -0.02083
  49.40000	   0.03305	  -0.01982
  49.50000	   0.03217	  -0.01961
  49.60000	   0.03173	  -0.01953
  49.70000	   0.03090	  -0.02024
  49.80000	   0.02988	  -0.01888
  49.90000	   0.02937	  -0.01803
  50.00000	   0.02804	  -0.01748
